company_id,created_date
"b1852d6f3acd3de","2019-10-21"
"88ded6c32d599ce","2019-12-16"
"ad8113aa3e4c1c5","2019-09-19"
"2b8828f92917ee8","2019-12-20"
"3b24e0151c38746","2019-09-30"
"3b24e0151c38746","2019-09-13"
"5a8ca405bc9045c","2019-08-13"
"6df168bc6c7cad1","2019-07-12"
"047d831ce7853b5","2019-08-07"
"abcc3da15018dc3","2019-12-03"
"b5d9e76e9aaaf72","2019-09-18"
"baadd7a227ea97d","2019-07-24"
"881c645641d37d6","2019-12-09"
"8d6c1693920fd4c","2019-09-30"
"6ede53dc9700fa0","2019-11-09"
"3c8dec2a97a3730","2019-08-28"
"5361c877d407d62","2019-10-29"
"e32e11a795a2a9c","2019-10-29"
"74944bdf3ad8352","2019-09-25"
"8bbf2020336b947","2019-11-05"
"889d62adf3bf256","2019-08-23"
"afa56dfb7fbffa3","2019-08-21"
"0fd6b15e12221a9","2019-07-10"
"dbf9f28f3d0d4bd","2019-08-21"
"b1a2e84c28d7593","2019-10-22"
"81bf02b03dd0ee6","2019-09-02"
"957a2df89f91b9c","2019-10-31"
"99113a704e01c5c","2019-08-20"
"f4f5cfcc28337fa","2019-11-28"
"c8f1d98c5d29323","2019-09-18"
"1c6957d38637971","2019-07-10"
"3c7b5a7784bd633","2019-10-02"
"a117e966d781665","2019-09-02"
"dd75083f16de8bc","2019-12-10"
"24abd64d9e67f32","2019-11-05"
"98d4520d25ad7fd","2019-07-16"
"3fd2affb531c403","2019-09-09"
"0abe66ece04fd9d","2019-12-09"
"838482780febb23","2019-12-17"
"857473e2adbdc69","2019-09-02"
"d9175731c5e7b58","2019-07-09"
"0fb4f380864f559","2019-10-10"
"31da8f78378b97a","2019-09-06"
"34a011d14f9eb15","2019-08-08"
"5bb9cf990d0bb27","2019-07-17"
"6abd3dbddde6c5c","2019-07-15"
"3c3e059d1ee4911","2019-08-27"
"4766776b1806afe","2019-08-22"
"5142aa3b8329712","2019-12-17"
"5b52465061f6386","2019-07-08"
"6ed026e1f9518bc","2019-10-07"
"c383f315c9fc12c","2019-08-20"
"f2dc66f2e0b59d3","2019-10-17"
"c83591510ba14b3","2019-07-22"
